hour_of_day,is_rush_hour,is_weekend,route_stop_count,stop_position_pct,tmax,prcp,is_rainy,temp_range,stop_sequence,direction_id,speed_mph,is_delayed
19.0,1.0,1.0,83.0,0.2682926829268293,68.0,0.0,0.0,25.0,11.0,0.0,16.01,0
19.0,1.0,1.0,83.0,0.030303030303030304,68.0,0.0,0.0,25.0,1.0,1.0,0.01,0
20.0,0.0,0.0,83.0,0.5909090909090909,62.0,0.0,0.0,24.0,26.0,1.0,33.47,0
20.0,0.0,0.0,83.0,0.029411764705882353,62.0,0.0,0.0,24.0,1.0,1.0,0.01,0
13.0,0.0,1.0,83.0,0.6744186046511628,68.0,0.0,0.0,25.0,29.0,1.0,0.07,0
13.0,0.0,1.0,83.0,0.023255813953488372,68.0,0.0,0.0,25.0,1.0,1.0,0.04,0
17.0,1.0,1.0,83.0,0.7209302325581395,68.0,0.0,0.0,25.0,31.0,1.0,38.2,0
17.0,1.0,1.0,83.0,0.09302325581395349,68.0,0.0,0.0,25.0,4.0,1.0,25.79,0
19.0,1.0,1.0,83.0,0.7674418604651163,68.0,0.0,0.0,25.0,33.0,1.0,0.0,0
13.0,0.0,1.0,110.0,0.75,68.0,0.0,0.0,25.0,42.0,1.0,23.11,0
13.0,0.0,1.0,110.0,0.26785714285714285,68.0,0.0,0.0,25.0,15.0,1.0,0.0,0
17.0,1.0,1.0,110.0,0.9107142857142857,68.0,0.0,0.0,25.0,51.0,1.0,0.0,0
17.0,1.0,1.0,110.0,0.44642857142857145,68.0,0.0,0.0,25.0,25.0,1.0,0.02,0
17.0,1.0,1.0,110.0,0.017857142857142856,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
19.0,1.0,1.0,110.0,0.9464285714285714,68.0,0.0,0.0,25.0,53.0,1.0,29.14,0
19.0,1.0,1.0,110.0,0.017857142857142856,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,110.0,0.7857142857142857,62.0,0.0,0.0,24.0,44.0,1.0,26.24,0
20.0,0.0,0.0,110.0,0.017857142857142856,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
13.0,0.0,1.0,110.0,0.45,68.0,0.0,0.0,25.0,18.0,1.0,9.0,0
16.0,1.0,1.0,110.0,0.5,68.0,0.0,0.0,25.0,20.0,1.0,9.14,0
17.0,1.0,1.0,110.0,0.025,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
18.0,1.0,1.0,110.0,0.5,68.0,0.0,0.0,25.0,20.0,1.0,9.0,0
19.0,1.0,1.0,110.0,0.025,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,110.0,1.0,62.0,0.0,0.0,24.0,40.0,1.0,0.01,0
20.0,0.0,0.0,110.0,0.15,62.0,0.0,0.0,24.0,6.0,1.0,33.84,1
20.0,0.0,0.0,110.0,0.025,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
